num,procN,taskN,criteria,timeWork
1,100,1000,628,4664998
2,100,1100,694,3510526
3,100,1200,759,2063267
4,100,1300,815,3898808
5,100,1400,866,4316392
6,100,1500,937,3046792
7,100,1600,998,3065534
8,100,1700,1001,3843623
9,100,1800,1102,2826615
10,100,1900,1149,2977634
11,100,2000,1182,8059883
12,200,1000,382,3752211
13,200,1100,447,1741557
14,200,1200,426,5144980
15,200,1300,478,3053753
16,200,1400,522,4713284
17,200,1500,531,6857398
18,200,1600,582,4719635
19,200,1700,610,4992821
20,200,1800,639,5086449
21,200,1900,685,5327588
22,200,2000,681,6433444
23,300,1000,285,3918539
24,300,1100,329,3106012
25,300,1200,336,4790514
26,300,1300,357,7574226
27,300,1400,392,3441220
28,300,1500,408,5998682
29,300,1600,422,5765591
30,300,1700,450,6691991
31,300,1800,467,7058450
32,300,1900,490,5321651
33,300,2000,536,4624510
34,400,1000,227,6191220
35,400,1100,283,2403230
36,400,1200,275,3961849
37,400,1300,309,6154762
38,400,1400,324,5975500
39,400,1500,335,5791107
40,400,1600,352,6799913
41,400,1700,363,7171414
42,400,1800,391,8879935
43,400,1900,437,4327518
44,400,2000,442,3288796
45,500,1000,216,4422365
46,500,1100,238,3702410
47,500,1200,244,6291858
48,500,1300,255,7549091
49,500,1400,289,5822334
50,500,1500,308,5591976
51,500,1600,295,8069796
52,500,1700,334,11820488
53,500,1800,355,3139451
54,500,1900,355,10636147
55,500,2000,378,5373974
56,600,1000,208,3309849
57,600,1100,221,2640187
58,600,1200,222,6067780
59,600,1300,225,7012642
60,600,1400,243,11476729
61,600,1500,270,6171893
62,600,1600,269,8960383
63,600,1700,301,5443156
64,600,1800,309,5131662
65,600,1900,306,11663104
66,600,2000,320,8028712
67,700,1000,200,4272290
68,700,1100,222,2348984
69,700,1200,231,3015647
70,700,1300,233,2799446
71,700,1400,235,3430944
72,700,1500,240,6700932
73,700,1600,245,16703733
74,700,1700,279,4313650
75,700,1800,279,8609652
76,700,1900,297,6649337
77,700,2000,312,6749255
78,800,1000,177,6158849
79,800,1100,186,4196872
80,800,1200,206,3621734
81,800,1300,216,4657109
82,800,1400,224,4857779
83,800,1500,221,9322366
84,800,1600,252,6588862
85,800,1700,261,4525736
86,800,1800,255,11062299
87,800,1900,268,10153518
88,800,2000,310,4103958
89,900,1000,184,3862145
90,900,1100,201,2521163
91,900,1200,186,5221391
92,900,1300,203,5864490
93,900,1400,212,3795529
94,900,1500,218,7996506
95,900,1600,230,5718444
96,900,1700,249,5110141
97,900,1800,251,7006395
98,900,1900,262,7112972
99,900,2000,265,8472646
100,1000,1000,173,2896420
101,1000,1100,159,5994998
102,1000,1200,181,5939612
103,1000,1300,173,9728698
104,1000,1400,203,3527971
105,1000,1500,201,8842777
106,1000,1600,218,7142324
107,1000,1700,224,7270388
108,1000,1800,227,11465005
109,1000,1900,258,5459378
110,1000,2000,251,14808346
