num,procN,taskN,criteria,timeWork
1,2,10,135,18978
2,2,30,644,75200
3,2,50,1157,142800
4,2,70,1694,140593
5,2,90,2111,138092
6,2,110,2766,125837
7,2,130,3171,228961
8,2,150,3737,139767
9,2,170,4207,193213
10,2,190,4620,170846
11,7,10,45,26006
12,7,30,194,70207
13,7,50,306,145114
14,7,70,414,91422
15,7,90,621,174075
16,7,110,745,251012
17,7,130,923,231254
18,7,150,1059,131391
19,7,170,1200,534514
20,7,190,1329,380807
21,12,10,40,21783
22,12,30,96,60131
23,12,50,180,111233
24,12,70,266,157513
25,12,90,351,276479
26,12,110,429,202026
27,12,130,529,148289
28,12,150,622,295814
29,12,170,719,208759
30,12,190,789,666901
31,17,10,42,33308
32,17,30,72,182574
33,17,50,145,86219
34,17,70,184,225015
35,17,90,238,321190
36,17,110,317,318591
37,17,130,391,312663
38,17,150,440,434313
39,17,170,497,493084
40,17,190,546,944048
41,22,10,27,27204
42,22,30,55,167368
43,22,50,116,174681
44,22,70,153,169148
45,22,90,183,562955
46,22,110,247,537507
47,22,130,277,582956
48,22,150,362,621606
49,22,170,430,297706
50,22,190,452,590015
51,27,10,37,21925
52,27,30,54,154685
53,27,50,75,502683
54,27,70,124,299788
55,27,90,194,244214
56,27,110,201,508647
57,27,130,264,288885
58,27,150,278,1001132
59,27,170,324,459163
60,27,190,354,494179
61,32,10,34,34525
62,32,30,45,76768
63,32,50,91,99429
64,32,70,97,612640
65,32,90,150,257196
66,32,110,192,429958
67,32,130,199,807320
68,32,150,290,324295
69,32,170,289,666269
70,32,190,319,881242
71,37,10,37,53133
72,37,30,45,132080
73,37,50,68,298516
74,37,70,102,301413
75,37,90,122,706989
76,37,110,163,714910
77,37,130,207,433266
78,37,150,229,309858
79,37,170,263,631112
80,37,190,275,403870
81,42,10,39,29658
82,42,30,48,157711
83,42,50,56,334022
84,42,70,82,583516
85,42,90,111,779426
86,42,110,142,506289
87,42,130,191,343966
88,42,150,215,378421
89,42,170,222,563357
90,42,190,265,470211
91,47,10,48,44451
92,47,30,53,132565
93,47,50,53,153689
94,47,70,84,313540
95,47,90,108,520361
96,47,110,140,331111
97,47,130,166,474089
98,47,150,182,837724
99,47,170,203,622538
100,47,190,228,402637
101,52,10,42,69831
102,52,30,53,156112
103,52,50,53,127292
104,52,70,95,305860
105,52,90,118,344309
106,52,110,138,422281
107,52,130,178,390693
108,52,150,182,495490
109,52,170,196,637947
110,52,190,246,662007
111,57,10,48,34618
112,57,30,48,156087
113,57,50,56,299011
114,57,70,90,229798
115,57,90,120,192120
116,57,110,109,460087
117,57,130,142,654392
118,57,150,165,649030
119,57,170,187,755734
120,57,190,236,291385
121,62,10,49,49444
122,62,30,47,145701
123,62,50,60,228107
124,62,70,75,364269
125,62,90,98,455912
126,62,110,120,489015
127,62,130,141,456984
128,62,150,150,606576
129,62,170,173,765339
130,62,190,191,606447
131,67,10,38,56447
132,67,30,51,87909
133,67,50,74,175922
134,67,70,72,404899
135,67,90,89,911930
136,67,110,121,445084
137,67,130,148,481774
138,67,150,139,686872
139,67,170,164,470276
140,67,190,183,612774
141,72,10,37,58783
142,72,30,47,195474
143,72,50,54,195473
144,72,70,59,564573
145,72,90,83,614084
146,72,110,101,632692
147,72,130,118,916664
148,72,150,162,317305
149,72,170,149,723194
150,72,190,162,881366
151,77,10,46,98507
152,77,30,42,110135
153,77,50,57,189609
154,77,70,60,520043
155,77,90,102,246186
156,77,110,97,768112
157,77,130,121,402678
158,77,150,123,695624
159,77,170,143,613952
160,77,190,154,739281
161,82,10,38,185544
162,82,30,37,212057
163,82,50,48,99746
164,82,70,68,131887
165,82,90,80,467404
166,82,110,112,334823
167,82,130,126,478564
168,82,150,135,294573
169,82,170,146,873247
170,82,190,149,845510
171,87,10,40,90556
172,87,30,51,87131
173,87,50,58,97240
174,87,70,50,561046
175,87,90,80,625120
176,87,110,94,758231
177,87,130,109,637039
178,87,150,134,348535
179,87,170,152,650874
180,87,190,162,642036
181,92,10,38,44568
182,92,30,55,100914
183,92,50,54,164956
184,92,70,54,411679
185,92,90,80,433934
186,92,110,100,309178
187,92,130,117,532010
188,92,150,115,901734
189,92,170,147,631918
190,92,190,168,347675
191,97,10,32,59321
192,97,30,43,130643
193,97,50,49,262903
194,97,70,59,380768
195,97,90,78,520323
196,97,110,105,308605
197,97,130,106,398041
198,97,150,130,357054
199,97,170,130,535883
200,97,190,146,841856
