num,procN,taskN,criteria,timeWork
1,2,10,135,20605
2,2,30,651,93188
3,2,50,1171,46107
4,2,70,1703,55477
5,2,90,2109,70677
6,2,110,2763,74915
7,2,130,3175,55290
8,2,150,3727,105991
9,2,170,4206,121642
10,2,190,4630,148885
11,7,10,45,10375
12,7,30,197,81881
13,7,50,307,57085
14,7,70,428,92527
15,7,90,614,97266
16,7,110,770,48981
17,7,130,933,113788
18,7,150,1074,124345
19,7,170,1226,86378
20,7,190,1338,274649
21,12,10,40,10913
22,12,30,102,28713
23,12,50,188,52334
24,12,70,265,100758
25,12,90,380,58265
26,12,110,411,117088
27,12,130,535,101425
28,12,150,634,206667
29,12,170,727,200253
30,12,190,797,266594
31,17,10,42,12163
32,17,30,81,40464
33,17,50,150,32462
34,17,70,202,62066
35,17,90,256,145240
36,17,110,325,227329
37,17,130,397,248321
38,17,150,446,220499
39,17,170,515,250010
40,17,190,600,188874
41,22,10,27,16218
42,22,30,73,49453
43,22,50,123,79248
44,22,70,162,106406
45,22,90,217,141405
46,22,110,288,116140
47,22,130,329,239387
48,22,150,351,354582
49,22,170,420,150372
50,22,190,483,315051
51,27,10,37,13490
52,27,30,63,59577
53,27,50,101,176727
54,27,70,126,276463
55,27,90,190,151778
56,27,110,233,161849
57,27,130,307,148472
58,27,150,339,110131
59,27,170,343,295823
60,27,190,380,291245
61,32,10,34,14349
62,32,30,64,122186
63,32,50,94,122369
64,32,70,141,86759
65,32,90,147,427908
66,32,110,216,247768
67,32,130,267,101311
68,32,150,264,247788
69,32,170,305,421283
70,32,190,319,336235
71,37,10,47,19875
72,37,30,65,118648
73,37,50,78,192492
74,37,70,108,143915
75,37,90,135,323060
76,37,110,179,245889
77,37,130,242,81413
78,37,150,224,240062
79,37,170,299,118383
80,37,190,334,165281
81,42,10,39,18995
82,42,30,57,203924
83,42,50,75,123901
84,42,70,105,336781
85,42,90,145,260233
86,42,110,173,139991
87,42,130,207,125559
88,42,150,225,164094
89,42,170,236,380789
90,42,190,253,459355
91,47,10,48,26712
92,47,30,54,133978
93,47,50,72,74086
94,47,70,90,274515
95,47,90,125,196225
96,47,110,153,152562
97,47,130,178,163143
98,47,150,222,211325
99,47,170,235,286101
100,47,190,242,223508
101,52,10,44,27054
102,52,30,58,30654
103,52,50,58,86432
104,52,70,114,81021
105,52,90,113,321699
106,52,110,169,82138
107,52,130,197,223342
108,52,150,191,232464
109,52,170,203,284252
110,52,190,263,224989
111,57,10,50,20897
112,57,30,48,50563
113,57,50,64,158810
114,57,70,95,245285
115,57,90,115,232949
116,57,110,133,174754
117,57,130,158,286393
118,57,150,169,276185
119,57,170,200,290675
120,57,190,244,207394
121,62,10,50,35446
122,62,30,47,76270
123,62,50,60,215276
124,62,70,86,359302
125,62,90,119,190438
126,62,110,165,86959
127,62,130,168,131837
128,62,150,171,270102
129,62,170,187,237359
130,62,190,229,130100
131,67,10,38,23843
132,67,30,56,44263
133,67,50,71,139949
134,67,70,87,132200
135,67,90,104,357206
136,67,110,124,273495
137,67,130,171,144799
138,67,150,163,289864
139,67,170,165,363635
140,67,190,190,661017
141,72,10,37,23038
142,72,30,59,57269
143,72,50,70,204685
144,72,70,79,386247
145,72,90,102,741885
146,72,110,127,359588
147,72,130,161,203379
148,72,150,146,592238
149,72,170,177,331801
150,72,190,191,345801
151,77,10,47,23953
152,77,30,41,82373
153,77,50,57,109411
154,77,70,84,121210
155,77,90,108,139656
156,77,110,123,102264
157,77,130,128,216100
158,77,150,143,268070
159,77,170,151,328149
160,77,190,193,310267
161,82,10,43,34154
162,82,30,50,178327
163,82,50,51,99841
164,82,70,67,329603
165,82,90,99,214976
166,82,110,107,177963
167,82,130,138,248054
168,82,150,166,139034
169,82,170,169,304022
170,82,190,160,423785
171,87,10,40,50359
172,87,30,48,122721
173,87,50,54,114663
174,87,70,83,134242
175,87,90,88,269853
176,87,110,116,201167
177,87,130,124,401079
178,87,150,125,468404
179,87,170,144,538203
180,87,190,166,445822
181,92,10,45,29335
182,92,30,57,50654
183,92,50,59,129089
184,92,70,75,158186
185,92,90,98,282861
186,92,110,100,293269
187,92,130,122,270561
188,92,150,131,258519
189,92,170,183,212815
190,92,190,165,263750
191,97,10,32,72612
192,97,30,45,47410
193,97,50,56,120575
194,97,70,57,326371
195,97,90,92,164894
196,97,110,89,427267
197,97,130,110,264534
198,97,150,148,297696
199,97,170,139,392274
200,97,190,155,602854
